15:43:36.631251 IP6 fe80::dd2b:da38:44c8:1eab.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:36.633302 IP6 fe80::b809:b0c9:f756:f328.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:40.366492 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:43:40.367173 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:43:40.567856 IP 192.168.48.131.47565 > 192.168.48.2.domain: 55483+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:43:40.581379 IP 192.168.48.2.domain > 192.168.48.131.47565: 55483 NXDomain 0/1/0 (113)
15:43:40.605195 IP 192.168.48.131.58400 > 192.168.48.128.telnet: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.771389 IP 192.168.48.128.1029 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.771544 IP 192.168.48.128.daytime > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.772108 IP 192.168.48.131.58400 > 192.168.48.128.1900: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.772350 IP 192.168.48.128.1900 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.772700 IP 192.168.48.131.58400 > 192.168.48.128.x11-1: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.772936 IP 192.168.48.128.x11-1 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.809825 IP 192.168.48.131.58401 > 192.168.48.128.domain: Flags [S], seq 3927020865, win 1024, options [mss 1460], length 0
15:43:41.812458 IP 192.168.48.128.domain > 192.168.48.131.58401: Flags [R.], seq 0, ack 3927020866, win 0, length 0
15:43:45.569291 ARP, Request who-has 192.168.48.2 tell 192.168.48.131, length 46
15:43:45.569756 ARP, Reply 192.168.48.2 is-at 00:50:56:ea:a1:60 (oui Unknown), length 46
15:43:47.015405 IP 192.168.48.128.1026 > 192.168.48.2.domain: 12+ A? bing.com. (26)
15:43:47.021652 IP 192.168.48.2.domain > 192.168.48.128.1026: 12 1/4/4 A 204.79.197.200 (188)
15:43:47.053579 IP 192.168.48.128.1103 > 204.79.197.200.http: Flags [S], seq 4088528335, win 64240, options [mss 1460,nop,nop,sackOK], length 0
15:43:47.082390 IP 204.79.197.200.http > 192.168.48.128.1103: Flags [S.], seq 367996323, ack 4088528336, win 64240, options [mss 1460], length 0
15:43:47.082822 IP 192.168.48.128.1103 > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
15:43:47.083695 IP 192.168.48.128.1103 > 204.79.197.200.http: Flags [P.], seq 1:386, ack 1, win 64240, length 385
15:43:47.084180 IP 204.79.197.200.http > 192.168.48.128.1103: Flags [.], ack 386, win 64240, length 0
15:43:47.116789 IP 204.79.197.200.http > 192.168.48.128.1103: Flags [P.], seq 1:281, ack 386, win 64240, length 280
15:43:47.119681 IP 192.168.48.128.1026 > 192.168.48.2.domain: 13+ A? www.bing.com. (30)
15:43:47.126441 IP 192.168.48.2.domain > 192.168.48.128.1026: 13 2/4/4 CNAME any.edge.bing.com., A 204.79.197.200 (215)
15:43:47.131766 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [S], seq 4088610457, win 64240, options [mss 1460,nop,nop,sackOK], length 0
15:43:47.157286 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [S.], seq 1746689248, ack 4088610458, win 64240, options [mss 1460], length 0
15:43:47.157603 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
15:43:47.158007 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [P.], seq 1:481, ack 1, win 64240, length 480
15:43:47.158513 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], ack 481, win 64240, length 0
15:43:47.216013 IP 204.79.197.200.http > 192.168.48.128.1103: Flags [P.], seq 1:281, ack 386, win 64240, length 280
15:43:47.216649 IP 192.168.48.128.1103 > 204.79.197.200.http: Flags [.], ack 281, win 63960, length 0
15:43:47.217904 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], seq 1:1461, ack 481, win 64240, length 1460
15:43:47.218217 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], seq 1461:2921, ack 481, win 64240, length 1460
15:43:47.218441 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 2921:4071, ack 481, win 64240, length 1150
15:43:47.218494 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 2921, win 64240, length 0
15:43:47.220655 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 4071:20258, ack 481, win 64240, length 16187
15:43:47.221602 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 5531, win 64240, length 0
15:43:47.221734 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 8451, win 64240, length 0
15:43:47.222130 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 11371, win 62780, length 0
15:43:47.222189 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 14291, win 59860, length 0
15:43:47.222220 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 17211, win 56940, length 0
15:43:47.222591 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 20131, win 54020, length 0
15:43:47.225942 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 20258, win 64240, length 0
15:43:47.393005 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [P.], seq 481:1040, ack 20258, win 64240, length 559
15:43:47.394742 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], ack 1040, win 64240, length 0
15:43:47.423436 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 20258:27158, ack 1040, win 64240, length 6900
15:43:47.423814 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 23178, win 64240, length 0
15:43:47.424104 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 26098, win 64240, length 0
15:43:47.485782 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 27158, win 63180, length 0
15:43:47.498523 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [P.], seq 1040:1602, ack 27158, win 63180, length 562
15:43:47.498917 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], ack 1602, win 64240, length 0
15:43:47.539500 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 27158:31625, ack 1602, win 64240, length 4467
15:43:47.540213 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 30078, win 64240, length 0
15:43:47.540720 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 31625, win 64240, length 0
15:43:47.698535 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [P.], seq 1602:2299, ack 31625, win 64240, length 697
15:43:47.699357 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], ack 2299, win 64240, length 0
15:43:47.704803 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [S], seq 4088778715, win 64240, options [mss 1460,nop,nop,sackOK], length 0
15:43:47.726837 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 31625:31864, ack 2299, win 64240, length 239
15:43:47.730796 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [S.], seq 1463242431, ack 4088778716, win 64240, options [mss 1460], length 0
15:43:47.731211 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 1, win 64240, length 0
15:43:47.732048 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [P.], seq 1:1040, ack 1, win 64240, length 1039
15:43:47.732956 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [.], ack 1040, win 64240, length 0
15:43:47.760662 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [P.], seq 1:11720, ack 1040, win 64240, length 11719
15:43:47.761824 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 2921, win 64240, length 0
15:43:47.761906 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 5841, win 64240, length 0
15:43:47.762003 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 8761, win 64240, length 0
15:43:47.762037 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 11681, win 61320, length 0
15:43:47.762065 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 11720, win 64240, length 0
15:43:47.807657 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [P.], seq 2299:2911, ack 31864, win 64001, length 612
15:43:47.808193 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], ack 2911, win 64240, length 0
15:43:47.828949 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [P.], seq 1040:1894, ack 11720, win 64240, length 854
15:43:47.829337 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [.], ack 1894, win 64240, length 0
15:43:47.839188 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 31864:49384, ack 2911, win 64240, length 17520
15:43:47.839383 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 49384:59604, ack 2911, win 64240, length 10220
15:43:47.841041 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 59604:71284, ack 2911, win 64240, length 11680
15:43:47.841205 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 71284:75664, ack 2911, win 64240, length 4380
15:43:47.841302 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 34784, win 64240, length 0
15:43:47.841363 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 37704, win 64240, length 0
15:43:47.841413 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 40624, win 64240, length 0
15:43:47.841444 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 43544, win 61320, length 0
15:43:47.841474 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 46464, win 58400, length 0
15:43:47.841506 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 49384, win 55480, length 0
15:43:47.841534 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 52304, win 52560, length 0
15:43:47.841562 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 55224, win 49640, length 0
15:43:47.841627 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 58144, win 46720, length 0
15:43:47.842257 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 61064, win 43800, length 0
15:43:47.842338 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 63984, win 40880, length 0
15:43:47.842368 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 66904, win 37960, length 0
15:43:47.842397 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 69824, win 35040, length 0
15:43:47.842637 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 72744, win 32120, length 0
15:43:47.842698 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 75664, win 29200, length 0
15:43:47.845207 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 75664, win 32960, length 0
15:43:47.846352 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 75664, win 64240, length 0
15:43:47.856640 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [P.], seq 11720:27780, ack 1894, win 64240, length 16060
15:43:47.857965 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 14640, win 64240, length 0
15:43:47.858864 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 17560, win 64240, length 0
15:43:47.859044 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 20480, win 64240, length 0
15:43:47.859080 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 23400, win 61320, length 0
15:43:47.859109 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 26320, win 58400, length 0
15:43:47.859219 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [P.], seq 27780:40920, ack 1894, win 64240, length 13140
15:43:47.861716 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 29240, win 55480, length 0
15:43:47.861836 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 32160, win 52560, length 0
15:43:47.861869 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 35080, win 49640, length 0
15:43:47.862797 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 38000, win 46720, length 0
15:43:47.862894 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 40920, win 43800, length 0
15:43:47.870848 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 75664:97564, ack 2911, win 64240, length 21900
15:43:47.871592 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 78584, win 64240, length 0
15:43:47.871869 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 81504, win 64240, length 0
15:43:47.871910 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 84424, win 64240, length 0
15:43:47.873446 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 97564:115084, ack 2911, win 64240, length 17520
15:43:47.873998 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 87344, win 61320, length 0
15:43:47.876636 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 115084:120924, ack 2911, win 64240, length 5840
15:43:47.876857 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 120924:136984, ack 2911, win 64240, length 16060
15:43:47.877020 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 136984:141364, ack 2911, win 64240, length 4380
15:43:47.878825 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 90264, win 58400, length 0
15:43:47.878979 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 93184, win 55480, length 0
15:43:47.879017 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 96104, win 52560, length 0
15:43:47.879048 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 99024, win 49640, length 0
15:43:47.879992 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 101944, win 46720, length 0
15:43:47.880188 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 104864, win 43800, length 0
15:43:47.880220 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 107784, win 40880, length 0
15:43:47.880250 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 110704, win 37960, length 0
15:43:47.881250 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 113624, win 35040, length 0
15:43:47.881394 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 116544, win 32120, length 0
15:43:47.881429 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 119464, win 29200, length 0
15:43:47.881797 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 122384, win 26280, length 0
15:43:47.882118 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 125304, win 23360, length 0
15:43:47.882238 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 128224, win 20440, length 0
15:43:47.882473 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 131144, win 17520, length 0
15:43:47.882669 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 134064, win 14600, length 0
15:43:47.882941 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 136984, win 11680, length 0
15:43:47.883032 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 139904, win 8760, length 0
15:43:47.884045 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [P.], seq 40920:46617, ack 1894, win 64240, length 5697
15:43:47.886005 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 43840, win 40880, length 0
15:43:47.886563 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 46617, win 38103, length 0
15:43:47.895482 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 141364:142824, ack 2911, win 64240, length 1460
15:43:47.898129 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 142824:148664, ack 2911, win 64240, length 5840
15:43:47.898873 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 142824, win 5840, length 0
15:43:47.898968 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 145744, win 2920, length 0
15:43:47.899001 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 148664, win 0, length 0
15:43:47.899350 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], seq 148664:148665, ack 2911, win 64240, length 1
15:43:47.921252 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 46617, win 41863, length 0
15:43:47.921487 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 148664, win 0, length 0
15:43:47.922061 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [.], ack 46617, win 64240, length 0
15:43:47.923295 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 148664, win 64240, length 0
15:43:47.924069 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], seq 148664:191004, ack 2911, win 64240, length 42340
15:43:47.926118 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 191004:212903, ack 2911, win 64240, length 21899
15:43:47.926864 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 151584, win 61320, length 0
15:43:47.926962 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 154504, win 58400, length 0
15:43:47.927090 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 157424, win 55480, length 0
15:43:47.927128 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 160344, win 52560, length 0
15:43:47.927192 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 212903:212904, ack 2911, win 64240, length 1
15:43:47.927289 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 163264, win 49640, length 0
15:43:47.928766 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 166184, win 46720, length 0
15:43:47.928870 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 169104, win 43800, length 0
15:43:47.928902 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 172024, win 40880, length 0
15:43:47.928931 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 174944, win 37960, length 0
15:43:47.928959 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 177864, win 35040, length 0
15:43:47.928988 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 180784, win 32120, length 0
15:43:47.929016 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 183704, win 29200, length 0
15:43:47.929545 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 186624, win 26280, length 0
15:43:47.930694 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 189544, win 23360, length 0
15:43:47.930805 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 192464, win 20440, length 0
15:43:47.931462 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 195384, win 17520, length 0
15:43:47.931540 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 198304, win 14600, length 0
15:43:47.931592 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 201224, win 11680, length 0
15:43:47.931750 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 204144, win 8760, length 0
15:43:47.932026 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 207064, win 5840, length 0
15:43:47.932171 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 209984, win 2920, length 0
15:43:47.932300 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 212903, win 1, length 0
15:43:47.934157 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 212904, win 64240, length 0
15:43:47.936520 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 212904:277143, ack 2911, win 64240, length 64239
15:43:47.958361 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 277143, win 1, length 0
15:43:47.958606 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 277143:277144, ack 2911, win 64240, length 1
15:43:47.969128 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 277144, win 64239, length 0
15:43:47.970131 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 277144:341383, ack 2911, win 64240, length 64239
15:43:47.971764 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 280064, win 61319, length 0
15:43:47.971881 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 282984, win 58399, length 0
15:43:47.971917 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 285904, win 55479, length 0
15:43:47.971947 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 288824, win 52559, length 0
15:43:47.971982 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 291744, win 49639, length 0
15:43:47.972013 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 294664, win 46719, length 0
15:43:47.972130 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 297584, win 43799, length 0
15:43:47.972267 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 300504, win 40879, length 0
15:43:47.972836 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 303424, win 37959, length 0
15:43:47.972922 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 306344, win 35039, length 0
15:43:47.972956 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 309264, win 32119, length 0
15:43:47.972986 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 312184, win 29199, length 0
15:43:47.973111 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 315104, win 26279, length 0
15:43:47.973231 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 318024, win 23359, length 0
15:43:47.973493 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 320944, win 20439, length 0
15:43:47.974944 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 323864, win 17519, length 0
15:43:47.975643 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 326784, win 14599, length 0
15:43:47.975927 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 329704, win 11679, length 0
15:43:47.976102 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 332624, win 8759, length 0
15:43:47.976741 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 335544, win 5839, length 0
15:43:47.977386 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 338464, win 2919, length 0
15:43:47.977567 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 341383, win 0, length 0
15:43:47.977763 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], seq 341383:341384, ack 2911, win 64240, length 1
15:43:47.978743 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 341383, win 0, length 0
15:43:47.979814 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 341383, win 3760, length 0
15:43:47.980100 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 341383:345143, ack 2911, win 64240, length 3760
15:43:47.980426 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 344303, win 840, length 0
15:43:47.980990 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 345143, win 60480, length 0
15:43:47.981494 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [P.], seq 345143:378655, ack 2911, win 64240, length 33512
15:43:47.982643 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 348063, win 57560, length 0
15:43:47.982761 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 350983, win 54640, length 0
15:43:47.982809 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 353903, win 51720, length 0
15:43:47.983389 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 356823, win 48800, length 0
15:43:47.983469 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 359743, win 45880, length 0
15:43:47.985233 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 362663, win 42960, length 0
15:43:47.985347 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 365583, win 40040, length 0
15:43:47.985560 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 368503, win 37120, length 0
15:43:47.985850 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 371423, win 34200, length 0
15:43:47.985996 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 374343, win 31280, length 0
15:43:47.986147 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 377263, win 28360, length 0
15:43:47.987765 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 378655, win 30728, length 0
15:43:47.988275 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [.], ack 378655, win 64240, length 0
15:43:48.222347 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [P.], seq 1894:2506, ack 46617, win 64240, length 612
15:43:48.222738 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [.], ack 2506, win 64240, length 0
15:43:48.234154 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [P.], seq 2911:3523, ack 378655, win 64240, length 612
15:43:48.234832 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], ack 3523, win 64240, length 0
15:43:48.235728 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [F.], seq 2506, ack 46617, win 64240, length 0
15:43:48.236100 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [.], ack 2507, win 64239, length 0
15:43:48.237200 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [S], seq 4088941089, win 64240, options [mss 1460,nop,nop,sackOK], length 0
15:43:48.238448 IP 192.168.48.128.1104 > 204.79.197.200.http: Flags [F.], seq 3523, ack 378655, win 64240, length 0
15:43:48.238909 IP 204.79.197.200.http > 192.168.48.128.1104: Flags [.], ack 3524, win 64239, length 0
15:43:48.250031 IP 192.168.48.128.1107 > 204.79.197.200.http: Flags [S], seq 4089003774, win 64240, options [mss 1460,nop,nop,sackOK], length 0
15:43:48.252237 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [S], seq 4089052609, win 64240, options [mss 1460,nop,nop,sackOK], length 0
15:43:48.260159 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [P.], seq 46617:62677, ack 2507, win 64239, length 16060
15:43:48.260989 IP 204.79.197.200.http > 192.168.48.128.1105: Flags [P.], seq 62677:68517, ack 2507, win 64239, length 5840
15:43:48.261195 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262056 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
15:43:48.262150 IP 192.168.48.128.1105 > 204.79.197.200.http: Flags [R], seq 4088781222, win 0, length 0
