15:45:26.313041 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:45:26.314163 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:45:26.509918 IP 192.168.48.131.41718 > 192.168.48.2.domain: 21689+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:45:26.516143 IP 192.168.48.2.domain > 192.168.48.131.41718: 21689 NXDomain 0/1/0 (113)
15:45:26.530371 IP 192.168.48.131.59445 > 192.168.48.128.1025: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.813156 IP 192.168.48.131.59445 > 192.168.48.128.bpjava-msvc: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.813294 IP 192.168.48.131.59445 > 192.168.48.128.1782: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.813419 IP 192.168.48.131.59445 > 192.168.48.128.9010: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.813572 IP 192.168.48.131.59445 > 192.168.48.128.4125: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.813676 IP 192.168.48.131.59445 > 192.168.48.128.1145: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.813811 IP 192.168.48.131.59445 > 192.168.48.128.49160: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.813928 IP 192.168.48.131.59445 > 192.168.48.128.6101: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.814042 IP 192.168.48.131.59445 > 192.168.48.128.5298: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.814148 IP 192.168.48.131.59445 > 192.168.48.128.1503: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.814254 IP 192.168.48.131.59445 > 192.168.48.128.23502: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.814362 IP 192.168.48.131.59445 > 192.168.48.128.7676: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817389 IP 192.168.48.131.59445 > 192.168.48.128.3031: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817443 IP 192.168.48.131.59445 > 192.168.48.128.726: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817482 IP 192.168.48.131.59445 > 192.168.48.128.17877: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817494 IP 192.168.48.131.59445 > 192.168.48.128.31038: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817522 IP 192.168.48.131.59445 > 192.168.48.128.18040: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817534 IP 192.168.48.131.59445 > 192.168.48.128.49159: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817561 IP 192.168.48.131.59445 > 192.168.48.128.moira-update: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817626 IP 192.168.48.131.59445 > 192.168.48.128.1174: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817666 IP 192.168.48.131.59445 > 192.168.48.128.8400: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817678 IP 192.168.48.131.59445 > 192.168.48.128.1147: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817705 IP 192.168.48.131.59445 > 192.168.48.128.5001: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817716 IP 192.168.48.131.59445 > 192.168.48.128.65000: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817749 IP 192.168.48.131.59445 > 192.168.48.128.1082: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817761 IP 192.168.48.131.59445 > 192.168.48.128.wipld: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817787 IP 192.168.48.131.59445 > 192.168.48.128.1041: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817799 IP 192.168.48.131.59445 > 192.168.48.128.ftp-data: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817838 IP 192.168.48.131.59445 > 192.168.48.128.5901: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817851 IP 192.168.48.131.59445 > 192.168.48.128.afs3-fileserver: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817878 IP 192.168.48.131.59445 > 192.168.48.128.2043: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817890 IP 192.168.48.131.59445 > 192.168.48.128.31337: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817930 IP 192.168.48.131.59445 > 192.168.48.128.10617: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817942 IP 192.168.48.131.59445 > 192.168.48.128.1030: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817969 IP 192.168.48.131.59445 > 192.168.48.128.49153: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.817980 IP 192.168.48.131.59445 > 192.168.48.128.3851: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.818011 IP 192.168.48.131.59445 > 192.168.48.128.radmin-port: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.818023 IP 192.168.48.131.59445 > 192.168.48.128.5555: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.818066 IP 192.168.48.128.51493 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818079 IP 192.168.48.128.1666 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818126 IP 192.168.48.128.6779 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818138 IP 192.168.48.128.6009 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818187 IP 192.168.48.128.xtell > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818199 IP 192.168.48.128.3005 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818226 IP 192.168.48.128.9071 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818238 IP 192.168.48.128.50500 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818266 IP 192.168.48.128.5000 > 192.168.48.131.59445: Flags [S.], seq 4112238105, ack 2624150108, win 64240, options [mss 1460], length 0
15:45:27.818304 IP 192.168.48.128.6 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818316 IP 192.168.48.128.10012 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818343 IP 192.168.48.128.qotd > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818355 IP 192.168.48.128.10024 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818381 IP 192.168.48.128.bpjava-msvc > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818393 IP 192.168.48.128.1782 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818664 IP 192.168.48.128.9010 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818691 IP 192.168.48.128.4125 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818722 IP 192.168.48.128.1145 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818734 IP 192.168.48.128.49160 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818781 IP 192.168.48.128.6101 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818793 IP 192.168.48.128.5298 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818820 IP 192.168.48.128.1503 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818832 IP 192.168.48.128.23502 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818859 IP 192.168.48.128.7676 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818896 IP 192.168.48.128.3031 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818908 IP 192.168.48.128.726 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818937 IP 192.168.48.128.17877 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818949 IP 192.168.48.128.31038 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818976 IP 192.168.48.128.18040 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.818988 IP 192.168.48.128.49159 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819034 IP 192.168.48.128.moira-update > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819046 IP 192.168.48.128.1174 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819079 IP 192.168.48.128.8400 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819091 IP 192.168.48.128.1147 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819118 IP 192.168.48.128.5001 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819129 IP 192.168.48.128.65000 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819156 IP 192.168.48.128.1082 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819167 IP 192.168.48.128.wipld > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819219 IP 192.168.48.128.1041 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819231 IP 192.168.48.128.ftp-data > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819258 IP 192.168.48.128.5901 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819270 IP 192.168.48.128.afs3-fileserver > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819299 IP 192.168.48.128.2043 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819337 IP 192.168.48.128.31337 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819348 IP 192.168.48.128.10617 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819375 IP 192.168.48.128.1030 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819386 IP 192.168.48.128.49153 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819414 IP 192.168.48.128.3851 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819443 IP 192.168.48.128.radmin-port > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.819636 IP 192.168.48.128.5555 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.820355 IP 192.168.48.131.59445 > 192.168.48.128.5000: Flags [R], seq 2624150108, win 0, length 0
15:45:27.820529 IP 192.168.48.131.59446 > 192.168.48.128.3801: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.820997 IP 192.168.48.128.3801 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.900978 IP 192.168.48.131.59446 > 192.168.48.128.2301: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.901217 IP 192.168.48.131.59446 > 192.168.48.128.1494: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.901623 IP 192.168.48.128.2301 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.901693 IP 192.168.48.128.1494 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.905028 IP 192.168.48.131.59446 > 192.168.48.128.32773: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.905159 IP 192.168.48.131.59446 > 192.168.48.128.3920: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.905193 IP 192.168.48.131.59446 > 192.168.48.128.16001: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.905222 IP 192.168.48.131.59446 > 192.168.48.128.49400: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.905250 IP 192.168.48.131.59446 > 192.168.48.128.2040: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.905278 IP 192.168.48.131.59446 > 192.168.48.128.xmpp-server: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.905306 IP 192.168.48.131.59446 > 192.168.48.128.9220: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.905334 IP 192.168.48.131.59446 > 192.168.48.128.6689: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.905363 IP 192.168.48.131.59446 > 192.168.48.128.6565: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.905667 IP 192.168.48.128.32773 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.905746 IP 192.168.48.128.3920 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.905792 IP 192.168.48.128.16001 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.905838 IP 192.168.48.128.49400 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.905928 IP 192.168.48.128.2040 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.905975 IP 192.168.48.128.xmpp-server > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.906133 IP 192.168.48.128.9220 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.906180 IP 192.168.48.128.6689 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.906209 IP 192.168.48.128.6565 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.908070 IP 192.168.48.131.59446 > 192.168.48.128.82: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.908219 IP 192.168.48.131.59446 > 192.168.48.128.683: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.908340 IP 192.168.48.131.59446 > 192.168.48.128.4002: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.908474 IP 192.168.48.131.59446 > 192.168.48.128.6788: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.908598 IP 192.168.48.131.59446 > 192.168.48.128.10628: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.908730 IP 192.168.48.131.59446 > 192.168.48.128.99: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.909222 IP 192.168.48.131.59446 > 192.168.48.128.3546: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.909277 IP 192.168.48.131.59446 > 192.168.48.128.8084: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.909317 IP 192.168.48.128.82 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.909381 IP 192.168.48.128.683 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.909411 IP 192.168.48.128.4002 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.909456 IP 192.168.48.128.6788 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.909485 IP 192.168.48.128.10628 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.909513 IP 192.168.48.128.99 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.909561 IP 192.168.48.128.3546 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.909652 IP 192.168.48.128.8084 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.910010 IP 192.168.48.131.59446 > 192.168.48.128.9003: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.910263 IP 192.168.48.128.9003 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.910493 IP 192.168.48.131.59446 > 192.168.48.128.26214: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.910743 IP 192.168.48.128.26214 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.910882 IP 192.168.48.131.59446 > 192.168.48.128.100: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.911084 IP 192.168.48.128.100 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.914011 IP 192.168.48.131.59446 > 192.168.48.128.6101: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.914423 IP 192.168.48.128.6101 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.914978 IP 192.168.48.131.59446 > 192.168.48.128.49160: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.915418 IP 192.168.48.128.49160 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.915818 IP 192.168.48.131.59446 > 192.168.48.128.1145: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.916071 IP 192.168.48.128.1145 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.916229 IP 192.168.48.131.59446 > 192.168.48.128.4125: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.916431 IP 192.168.48.128.4125 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.916687 IP 192.168.48.131.59446 > 192.168.48.128.9010: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.916914 IP 192.168.48.128.9010 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.917291 IP 192.168.48.131.59446 > 192.168.48.128.1782: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.917522 IP 192.168.48.128.1782 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.917849 IP 192.168.48.131.59446 > 192.168.48.128.bpjava-msvc: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.918116 IP 192.168.48.128.bpjava-msvc > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.918250 IP 192.168.48.131.59446 > 192.168.48.128.10024: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.918451 IP 192.168.48.128.10024 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.918715 IP 192.168.48.131.59446 > 192.168.48.128.qotd: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.918944 IP 192.168.48.128.qotd > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.919119 IP 192.168.48.131.59446 > 192.168.48.128.10012: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.919342 IP 192.168.48.128.10012 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.919622 IP 192.168.48.131.59446 > 192.168.48.128.6: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.919912 IP 192.168.48.128.6 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.920255 IP 192.168.48.131.59446 > 192.168.48.128.5000: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.920515 IP 192.168.48.128.5000 > 192.168.48.131.59446: Flags [S.], seq 4112314469, ack 2624084571, win 64240, options [mss 1460], length 0
15:45:27.920831 IP 192.168.48.131.59446 > 192.168.48.128.5000: Flags [R], seq 2624084571, win 0, length 0
15:45:27.921452 IP 192.168.48.131.59446 > 192.168.48.128.50500: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.921723 IP 192.168.48.128.50500 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.922162 IP 192.168.48.131.59446 > 192.168.48.128.9071: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.922378 IP 192.168.48.128.9071 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.922634 IP 192.168.48.131.59446 > 192.168.48.128.3005: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.922913 IP 192.168.48.128.3005 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.923037 IP 192.168.48.131.59446 > 192.168.48.128.xtell: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.923254 IP 192.168.48.128.xtell > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.923530 IP 192.168.48.131.59446 > 192.168.48.128.6009: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.923989 IP 192.168.48.128.6009 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.924443 IP 192.168.48.131.59446 > 192.168.48.128.6779: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.925217 IP 192.168.48.128.6779 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.925303 IP 192.168.48.131.59446 > 192.168.48.128.1666: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.925717 IP 192.168.48.128.1666 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.925800 IP 192.168.48.131.59446 > 192.168.48.128.51493: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.926189 IP 192.168.48.128.51493 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.926267 IP 192.168.48.131.59446 > 192.168.48.128.5999: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.926725 IP 192.168.48.128.5999 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.927219 IP 192.168.48.131.59446 > 192.168.48.128.2001: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.927296 IP 192.168.48.131.59446 > 192.168.48.128.3128: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.927716 IP 192.168.48.131.59446 > 192.168.48.128.2910: Flags [S], seq 2624084570, win 1024, options [mss 1460], length 0
15:45:27.927779 IP 192.168.48.128.2001 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.927824 IP 192.168.48.128.3128 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.927914 IP 192.168.48.128.2910 > 192.168.48.131.59446: Flags [R.], seq 0, ack 2624084571, win 0, length 0
15:45:27.938085 IP 192.168.48.131.59445 > 192.168.48.128.8022: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.938362 IP 192.168.48.128.8022 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.938635 IP 192.168.48.131.59445 > 192.168.48.128.9091: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.938872 IP 192.168.48.128.9091 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.939092 IP 192.168.48.131.59445 > 192.168.48.128.1914: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.939310 IP 192.168.48.128.1914 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.939508 IP 192.168.48.131.59445 > 192.168.48.128.5003: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.939757 IP 192.168.48.128.5003 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.939892 IP 192.168.48.131.59445 > 192.168.48.128.49165: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.940093 IP 192.168.48.128.49165 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.940338 IP 192.168.48.131.59445 > 192.168.48.128.7999: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.940563 IP 192.168.48.128.7999 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.940806 IP 192.168.48.131.59445 > 192.168.48.128.1201: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.941039 IP 192.168.48.128.1201 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.941383 IP 192.168.48.131.59445 > 192.168.48.128.8093: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.941684 IP 192.168.48.128.8093 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.941834 IP 192.168.48.131.59445 > 192.168.48.128.4567: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.942040 IP 192.168.48.128.4567 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.942352 IP 192.168.48.131.59445 > 192.168.48.128.omniorb: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.942595 IP 192.168.48.128.omniorb > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.942819 IP 192.168.48.131.59445 > 192.168.48.128.64623: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.943051 IP 192.168.48.128.64623 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:29.019446 IP 192.168.48.131.59445 > 192.168.48.128.iprop: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:29.019992 IP 192.168.48.128.iprop > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:29.020144 IP 192.168.48.131.59445 > 192.168.48.128.5801: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
