14:42:00.070514 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
14:42:00.074408 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
14:42:00.272869 IP 192.168.48.131.51378 > 192.168.48.2.domain: 60185+ PTR? 128.48.168.192.in-addr.arpa. (45)
14:42:00.277665 IP 192.168.48.2.domain > 192.168.48.131.51378: 60185 NXDomain 0/1/0 (113)
14:42:00.366479 ARP, Request who-has 192.168.48.128 tell 192.168.48.131, length 46
14:42:00.366738 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
14:42:00.367094 IP 192.168.48.131.59705 > 192.168.48.128.1723: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.555033 IP 192.168.48.131.59705 > 192.168.48.128.1580: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.555304 IP 192.168.48.128.1580 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.557528 IP 192.168.48.131.59705 > 192.168.48.128.60443: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.557778 IP 192.168.48.131.59705 > 192.168.48.128.3404: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.557803 IP 192.168.48.131.59705 > 192.168.48.128.9594: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.557947 IP 192.168.48.131.59705 > 192.168.48.128.880: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.557987 IP 192.168.48.131.59705 > 192.168.48.128.3323: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558112 IP 192.168.48.131.59705 > 192.168.48.128.5907: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558210 IP 192.168.48.131.59705 > 192.168.48.128.9485: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558226 IP 192.168.48.131.59705 > 192.168.48.128.12000: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558351 IP 192.168.48.131.59705 > 192.168.48.128.3476: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558447 IP 192.168.48.131.59705 > 192.168.48.128.51493: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558578 IP 192.168.48.131.59705 > 192.168.48.128.3869: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558690 IP 192.168.48.131.59705 > 192.168.48.128.32781: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558798 IP 192.168.48.131.59705 > 192.168.48.128.9593: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558815 IP 192.168.48.131.59705 > 192.168.48.128.6543: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.558940 IP 192.168.48.131.59705 > 192.168.48.128.9898: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559059 IP 192.168.48.131.59705 > 192.168.48.128.15003: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559166 IP 192.168.48.131.59705 > 192.168.48.128.1033: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559273 IP 192.168.48.131.59705 > 192.168.48.128.5987: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559384 IP 192.168.48.131.59705 > 192.168.48.128.2160: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559401 IP 192.168.48.131.59705 > 192.168.48.128.668: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559552 IP 192.168.48.131.59705 > 192.168.48.128.4446: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559571 IP 192.168.48.131.59705 > 192.168.48.128.sip-tls: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559688 IP 192.168.48.131.59705 > 192.168.48.128.1108: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559783 IP 192.168.48.131.59705 > 192.168.48.128.1461: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.559890 IP 192.168.48.131.59705 > 192.168.48.128.2020: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560005 IP 192.168.48.131.59705 > 192.168.48.128.45100: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560115 IP 192.168.48.131.59705 > 192.168.48.128.14442: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560220 IP 192.168.48.131.59705 > 192.168.48.128.ldap: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560329 IP 192.168.48.131.59705 > 192.168.48.128.5901: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560347 IP 192.168.48.131.59705 > 192.168.48.128.6510: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560524 IP 192.168.48.131.59705 > 192.168.48.128.5904: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560639 IP 192.168.48.131.59705 > 192.168.48.128.3703: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560733 IP 192.168.48.131.59705 > 192.168.48.128.5030: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560747 IP 192.168.48.131.59705 > 192.168.48.128.20221: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.560869 IP 192.168.48.131.59705 > 192.168.48.128.981: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562211 IP 192.168.48.131.59705 > 192.168.48.128.1152: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562252 IP 192.168.48.131.59705 > 192.168.48.128.64623: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562312 IP 192.168.48.131.59705 > 192.168.48.128.44501: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562325 IP 192.168.48.131.59705 > 192.168.48.128.1047: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562354 IP 192.168.48.131.59705 > 192.168.48.128.4126: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562366 IP 192.168.48.131.59705 > 192.168.48.128.7106: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562393 IP 192.168.48.131.59705 > 192.168.48.128.5100: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562405 IP 192.168.48.131.59705 > 192.168.48.128.8087: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562432 IP 192.168.48.131.59705 > 192.168.48.128.4321: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562444 IP 192.168.48.131.59705 > 192.168.48.128.3: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562473 IP 192.168.48.131.59705 > 192.168.48.128.5550: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562485 IP 192.168.48.131.59705 > 192.168.48.128.8254: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562519 IP 192.168.48.131.59705 > 192.168.48.128.1038: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562530 IP 192.168.48.131.59705 > 192.168.48.128.discard: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562557 IP 192.168.48.131.59705 > 192.168.48.128.2048: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.562841 IP 192.168.48.128.60443 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.562948 IP 192.168.48.128.3404 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.563061 IP 192.168.48.128.9594 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.563161 IP 192.168.48.128.880 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.563176 IP 192.168.48.128.3323 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.563263 IP 192.168.48.128.5907 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.563275 IP 192.168.48.128.9485 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.563380 IP 192.168.48.128.12000 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.563394 IP 192.168.48.128.3476 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.563870 IP 192.168.48.128.51493 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.563899 IP 192.168.48.128.3869 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.564224 IP 192.168.48.128.32781 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.564242 IP 192.168.48.128.9593 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566524 IP 192.168.48.128.6543 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566557 IP 192.168.48.128.9898 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566616 IP 192.168.48.128.15003 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566630 IP 192.168.48.128.1033 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566669 IP 192.168.48.128.5987 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566681 IP 192.168.48.128.2160 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566710 IP 192.168.48.128.668 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566722 IP 192.168.48.128.4446 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566749 IP 192.168.48.128.sip-tls > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566762 IP 192.168.48.128.1108 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566788 IP 192.168.48.128.1461 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566800 IP 192.168.48.128.2020 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566835 IP 192.168.48.128.45100 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566847 IP 192.168.48.128.14442 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566874 IP 192.168.48.128.ldap > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566886 IP 192.168.48.128.5901 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566914 IP 192.168.48.128.6510 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566925 IP 192.168.48.128.5904 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.566953 IP 192.168.48.128.3703 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567023 IP 192.168.48.128.5030 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567055 IP 192.168.48.128.20221 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567067 IP 192.168.48.128.981 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567101 IP 192.168.48.128.1152 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567113 IP 192.168.48.128.64623 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567140 IP 192.168.48.128.44501 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567152 IP 192.168.48.128.1047 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567179 IP 192.168.48.128.4126 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567191 IP 192.168.48.128.7106 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567225 IP 192.168.48.128.5100 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567237 IP 192.168.48.128.8087 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567264 IP 192.168.48.128.4321 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567276 IP 192.168.48.128.3 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567303 IP 192.168.48.128.5550 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567315 IP 192.168.48.128.8254 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567342 IP 192.168.48.128.1038 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567347 IP 192.168.48.128.discard > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567350 IP 192.168.48.128.2048 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.567409 IP 192.168.48.131.59705 > 192.168.48.128.2869: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.567423 IP 192.168.48.131.59705 > 192.168.48.128.3801: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.567846 IP 192.168.48.131.59705 > 192.168.48.128.48080: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.567876 IP 192.168.48.131.59705 > 192.168.48.128.32775: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.567907 IP 192.168.48.131.59705 > 192.168.48.128.svrloc: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.567919 IP 192.168.48.131.59705 > 192.168.48.128.34572: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.567946 IP 192.168.48.131.59705 > 192.168.48.128.5960: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.567958 IP 192.168.48.131.59705 > 192.168.48.128.5004: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568034 IP 192.168.48.131.59705 > 192.168.48.128.9968: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568048 IP 192.168.48.131.59705 > 192.168.48.128.1081: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568076 IP 192.168.48.131.59705 > 192.168.48.128.1043: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568087 IP 192.168.48.131.59705 > 192.168.48.128.xmpp-server: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568114 IP 192.168.48.131.59705 > 192.168.48.128.61532: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568126 IP 192.168.48.131.59705 > 192.168.48.128.2103: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568153 IP 192.168.48.131.59705 > 192.168.48.128.3995: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568165 IP 192.168.48.131.59705 > 192.168.48.128.8009: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568219 IP 192.168.48.131.59705 > 192.168.48.128.1801: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568232 IP 192.168.48.131.59705 > 192.168.48.128.10001: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568261 IP 192.168.48.131.59705 > 192.168.48.128.5001: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568273 IP 192.168.48.131.59705 > 192.168.48.128.5431: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568304 IP 192.168.48.131.59705 > 192.168.48.128.8008: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568317 IP 192.168.48.131.59705 > 192.168.48.128.1296: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568344 IP 192.168.48.131.59705 > 192.168.48.128.25735: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568383 IP 192.168.48.131.59705 > 192.168.48.128.2381: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568395 IP 192.168.48.131.59705 > 192.168.48.128.6547: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568422 IP 192.168.48.131.59705 > 192.168.48.128.4998: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568434 IP 192.168.48.131.59705 > 192.168.48.128.20031: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568460 IP 192.168.48.131.59705 > 192.168.48.128.2004: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568581 IP 192.168.48.131.59705 > 192.168.48.128.32784: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568612 IP 192.168.48.131.59705 > 192.168.48.128.1783: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568624 IP 192.168.48.131.59705 > 192.168.48.128.1096: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568652 IP 192.168.48.131.59705 > 192.168.48.128.2107: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568670 IP 192.168.48.131.59705 > 192.168.48.128.2041: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568698 IP 192.168.48.131.59705 > 192.168.48.128.6100: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568710 IP 192.168.48.131.59705 > 192.168.48.128.sane-port: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568737 IP 192.168.48.131.59705 > 192.168.48.128.2200: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568749 IP 192.168.48.131.59705 > 192.168.48.128.2106: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568798 IP 192.168.48.131.59705 > 192.168.48.128.9929: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568811 IP 192.168.48.131.59705 > 192.168.48.128.8090: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.568891 IP 192.168.48.128.2869 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.569108 IP 192.168.48.131.59705 > 192.168.48.128.19283: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.569129 IP 192.168.48.131.59705 > 192.168.48.128.3880: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.569313 IP 192.168.48.131.59705 > 192.168.48.128.9944: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.569434 IP 192.168.48.131.59705 > 192.168.48.128.7676: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.569593 IP 192.168.48.131.59705 > 192.168.48.128.81: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.569613 IP 192.168.48.131.59705 > 192.168.48.128.2393: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.569744 IP 192.168.48.131.59705 > 192.168.48.128.720: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.569843 IP 192.168.48.131.59705 > 192.168.48.128.50389: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.569953 IP 192.168.48.131.59705 > 192.168.48.128.1755: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.571313 IP 192.168.48.131.59705 > 192.168.48.128.x11-1: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.572911 IP 192.168.48.131.59705 > 192.168.48.128.rfe: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.573730 IP 192.168.48.128.3801 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.574035 IP 192.168.48.128.48080 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.574403 IP 192.168.48.128.32775 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.574666 IP 192.168.48.128.svrloc > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.574896 IP 192.168.48.128.34572 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.575240 IP 192.168.48.128.5960 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.575465 IP 192.168.48.128.5004 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.575877 IP 192.168.48.128.9968 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.576351 IP 192.168.48.128.1081 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.576523 IP 192.168.48.128.1043 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.576907 IP 192.168.48.128.xmpp-server > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.577387 IP 192.168.48.128.61532 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.577637 IP 192.168.48.128.2103 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.577783 IP 192.168.48.131.59705 > 192.168.48.128.9010: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.577882 IP 192.168.48.131.59705 > 192.168.48.128.3986: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.578107 IP 192.168.48.131.59705 > 192.168.48.128.2638: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.578217 IP 192.168.48.131.59705 > 192.168.48.128.4567: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.578351 IP 192.168.48.131.59705 > 192.168.48.128.1271: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.578446 IP 192.168.48.131.59705 > 192.168.48.128.616: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.578823 IP 192.168.48.131.59705 > 192.168.48.128.683: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.578859 IP 192.168.48.128.3995 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.578872 IP 192.168.48.128.8009 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.578940 IP 192.168.48.128.1801 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.578952 IP 192.168.48.128.10001 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579066 IP 192.168.48.128.5001 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579079 IP 192.168.48.128.5431 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579183 IP 192.168.48.128.8008 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579196 IP 192.168.48.128.1296 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579571 IP 192.168.48.128.25735 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579590 IP 192.168.48.128.2381 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579632 IP 192.168.48.128.6547 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579644 IP 192.168.48.128.4998 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579691 IP 192.168.48.128.20031 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579703 IP 192.168.48.128.2004 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579731 IP 192.168.48.128.32784 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579810 IP 192.168.48.128.1783 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.579822 IP 192.168.48.128.1096 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580053 IP 192.168.48.128.2107 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580072 IP 192.168.48.128.2041 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580113 IP 192.168.48.128.6100 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580337 IP 192.168.48.128.sane-port > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580358 IP 192.168.48.128.2200 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580422 IP 192.168.48.128.2106 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580433 IP 192.168.48.128.9929 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580461 IP 192.168.48.128.8090 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580556 IP 192.168.48.128.19283 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580568 IP 192.168.48.128.3880 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580684 IP 192.168.48.128.9944 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580697 IP 192.168.48.128.7676 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.580839 IP 192.168.48.128.81 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.581025 IP 192.168.48.128.2393 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.581388 IP 192.168.48.128.720 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.581602 IP 192.168.48.128.50389 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.581863 IP 192.168.48.128.1755 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.582007 IP 192.168.48.128.x11-1 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.582126 IP 192.168.48.128.rfe > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.582230 IP 192.168.48.128.9010 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
